Symbol,Date,Close
TTD,5/11/2018,75.61
TTD,5/14/2018,74.92
TTD,5/15/2018,80.22
TTD,5/16/2018,80.75
TTD,5/17/2018,80.44
TTD,5/18/2018,85.63
TTD,5/21/2018,82.96
TTD,5/22/2018,82.23
TTD,5/23/2018,82.96
TTD,5/24/2018,82.99
TTD,5/25/2018,82.56
TTD,5/29/2018,82.73
TTD,5/30/2018,84.54
TTD,5/31/2018,85.53
TTD,6/1/2018,86.64
TTD,6/4/2018,83.2
TTD,6/5/2018,87.93
TTD,6/6/2018,86.27
TTD,6/7/2018,86.55
TTD,6/8/2018,88.62
TTD,6/11/2018,88.82
TTD,6/12/2018,90.77
TTD,6/13/2018,90.06
TTD,6/14/2018,90.53
TTD,6/15/2018,90.12
TTD,6/18/2018,92.92
TTD,6/19/2018,91.49
TTD,6/20/2018,93.36
TTD,6/21/2018,91.54
TTD,6/22/2018,92.06
TTD,6/25/2018,89.34
TTD,6/26/2018,91.65
TTD,6/27/2018,89.58
TTD,6/28/2018,92.21
TTD,6/29/2018,93.8
TTD,7/2/2018,94.2
TTD,7/3/2018,91
TTD,7/5/2018,92.77
TTD,7/6/2018,94
TTD,7/9/2018,94.55
TTD,7/10/2018,92.69
TTD,7/11/2018,91.64
TTD,7/12/2018,94.83
TTD,7/13/2018,94.14
TTD,7/16/2018,93.33
TTD,7/17/2018,94.9
TTD,7/18/2018,95.18
TTD,7/19/2018,94.7
TTD,7/20/2018,97.3
TTD,7/23/2018,94.88
TTD,7/24/2018,90.25
TTD,7/25/2018,93.14
TTD,7/26/2018,92.79
TTD,7/27/2018,89.5
TTD,7/30/2018,85.96
TTD,7/31/2018,84.32
TTD,8/1/2018,86.84
TTD,8/2/2018,88.49
TTD,8/3/2018,86.87
TTD,8/6/2018,89.14
TTD,8/7/2018,90.13
TTD,8/8/2018,91.37
TTD,8/9/2018,93.29
TTD,8/10/2018,127.93
TTD,8/13/2018,125.69
TTD,8/14/2018,133
TTD,8/15/2018,126.69
TTD,8/16/2018,127.24
TTD,8/17/2018,125.61
TTD,8/20/2018,125.36
TTD,8/21/2018,129.03
TTD,8/22/2018,129.68
TTD,8/23/2018,136.7
TTD,8/24/2018,138.35
TTD,8/27/2018,139.72
TTD,8/28/2018,140.09
TTD,8/29/2018,141.66
TTD,8/30/2018,140.78
TTD,8/31/2018,141.88
TTD,9/4/2018,146.69
TTD,9/5/2018,141.89
