Symbol,Date,Close
QCOM,5/11/2018,55.23
QCOM,5/14/2018,56.74
QCOM,5/15/2018,55.64
QCOM,5/16/2018,56.7
QCOM,5/17/2018,56.95
QCOM,5/18/2018,57.51
QCOM,5/21/2018,57.71
QCOM,5/22/2018,57.39
QCOM,5/23/2018,58.82
QCOM,5/24/2018,59.08
QCOM,5/25/2018,59.96
QCOM,5/29/2018,58.23
QCOM,5/30/2018,58.39
QCOM,5/31/2018,58.12
QCOM,6/1/2018,58.61
QCOM,6/4/2018,58.71
QCOM,6/5/2018,58.98
QCOM,6/6/2018,59.84
QCOM,6/7/2018,60.64
QCOM,6/8/2018,60.26
QCOM,6/11/2018,59.93
QCOM,6/12/2018,59.79
QCOM,6/13/2018,59.22
QCOM,6/14/2018,59.46
QCOM,6/15/2018,59.86
QCOM,6/18/2018,59.2
QCOM,6/19/2018,58.7
QCOM,6/20/2018,58.79
QCOM,6/21/2018,58.75
QCOM,6/22/2018,58.5
QCOM,6/25/2018,57.05
QCOM,6/26/2018,56.45
QCOM,6/27/2018,55.17
QCOM,6/28/2018,55.9
QCOM,6/29/2018,56.12
QCOM,7/2/2018,56.18
QCOM,7/3/2018,55.33
QCOM,7/5/2018,57.38
QCOM,7/6/2018,57.84
QCOM,7/9/2018,58.04
QCOM,7/10/2018,58.37
QCOM,7/11/2018,57.3
QCOM,7/12/2018,58.32
QCOM,7/13/2018,58.39
QCOM,7/16/2018,58.35
QCOM,7/17/2018,58.91
QCOM,7/18/2018,58.76
QCOM,7/19/2018,59.31
QCOM,7/20/2018,58.61
QCOM,7/23/2018,59.08
QCOM,7/24/2018,58.85
QCOM,7/25/2018,59.42
QCOM,7/26/2018,63.58
QCOM,7/27/2018,62.69
QCOM,7/30/2018,62.04
QCOM,7/31/2018,64.09
QCOM,8/1/2018,64.35
QCOM,8/2/2018,64.77
QCOM,8/3/2018,65.4
QCOM,8/6/2018,65.73
QCOM,8/7/2018,65.44
QCOM,8/8/2018,65.16
QCOM,8/9/2018,65.08
QCOM,8/10/2018,64.82
QCOM,8/13/2018,64.84
QCOM,8/14/2018,65.43
QCOM,8/15/2018,65.68
QCOM,8/16/2018,65.76
QCOM,8/17/2018,66.06
QCOM,8/20/2018,66.16
QCOM,8/21/2018,66.55
QCOM,8/22/2018,66.84
QCOM,8/23/2018,66.86
QCOM,8/24/2018,67.15
QCOM,8/27/2018,67.34
QCOM,8/28/2018,69.78
QCOM,8/29/2018,69.2
QCOM,8/30/2018,68.14
QCOM,8/31/2018,68.71
QCOM,9/4/2018,69.98
QCOM,9/5/2018,70.89
QCOM,9/6/2018,70.36
QCOM,9/7/2018,70.38
QCOM,9/10/2018,72.32
QCOM,9/11/2018,72.51
QCOM,9/12/2018,71.75
QCOM,9/13/2018,74.61
QCOM,9/14/2018,75.09
QCOM,9/17/2018,73.24
QCOM,9/18/2018,74.72
QCOM,9/19/2018,74.06
QCOM,9/20/2018,74.6
QCOM,9/21/2018,73.7
QCOM,9/24/2018,73.58
QCOM,9/25/2018,72.74
QCOM,9/26/2018,71.76
QCOM,9/27/2018,71.71
QCOM,9/28/2018,72.03
QCOM,10/1/2018,72.6
QCOM,10/2/2018,73.35
QCOM,10/3/2018,72.64
QCOM,10/4/2018,72.38
QCOM,10/5/2018,71.21
QCOM,10/8/2018,70.93
QCOM,10/9/2018,70.13
QCOM,10/10/2018,66.73
QCOM,10/11/2018,64.29
QCOM,10/12/2018,64.29
QCOM,10/15/2018,64.17
QCOM,10/16/2018,66.12
QCOM,10/17/2018,66.1
QCOM,10/18/2018,65.15
QCOM,10/19/2018,65.36
QCOM,10/22/2018,66.12
QCOM,10/23/2018,66.38
QCOM,10/24/2018,62.62
QCOM,10/25/2018,63.2
QCOM,10/26/2018,62.48
QCOM,10/29/2018,62.17
QCOM,10/30/2018,63.18
QCOM,10/31/2018,62.89
QCOM,11/1/2018,63.71
QCOM,11/2/2018,63.33
QCOM,11/5/2018,63.47
QCOM,11/6/2018,63.63
QCOM,11/7/2018,63.21
QCOM,11/8/2018,58.05
QCOM,11/9/2018,56.72
QCOM,11/12/2018,54.49
QCOM,11/13/2018,54.16
QCOM,11/14/2018,53.94
QCOM,11/15/2018,55.39
QCOM,11/16/2018,55.88
QCOM,11/19/2018,54.9
QCOM,11/20/2018,54.92
QCOM,11/21/2018,55.27
QCOM,11/23/2018,55.25
QCOM,11/26/2018,55.73
QCOM,11/27/2018,55.57
